NumberOfStates,HistoricWindowLength,mae
10,1,121.57738095238095
10,5,122.40836466165413
10,10,121.6484962406015
10,20,121.62750626566417
20,1,122.22932330827068
20,5,121.65115914786968
20,10,120.38627819548873
20,20,120.390507518797
30,1,121.91760651629073
30,5,121.6984649122807
30,10,120.00015664160401
30,20,119.93107769423558
40,1,118.65664160401002
40,5,116.48417919799499
40,10,114.49185463659148
40,20,114.55372807017544
50,1,118.72901002506266
50,5,115.73010651629073
50,10,114.35385338345864
50,20,114.48073308270676
60,1,119.25861528822055
60,5,116.34476817042606
60,10,115.04589598997494
60,20,114.73997493734336
80,1,118.29652255639098
80,5,114.56296992481202
80,10,113.19360902255639
80,20,113.35526315789474
100,1,122.5874060150376
100,5,121.7376253132832
100,10,119.33521303258145
100,20,119.46647869674186
