NumberOfStates,HistoricWindowLength,mae
10,1,90108.72034110437
10,5,92189.99441072301
10,10,92095.87473294669
10,20,92079.83303281831
20,1,87971.81426524877
20,5,88566.52782286698
20,10,88422.94336952738
20,20,88405.92655001109
30,1,88194.4149455463
30,5,89454.12574611808
30,10,89427.2004200894
30,20,89440.29522467163
40,1,86876.98291274719
40,5,85883.69697280251
40,10,85750.51502669501
40,20,85565.5672425964
50,1,87064.36306887792
50,5,85493.76826978337
50,10,85279.94994067578
50,20,85256.69087378295
60,1,87100.43198242056
60,5,86265.8922909952
60,10,86176.78840444157
60,20,86150.49370515092
80,1,87181.51457552223
80,5,85188.77171191339
80,10,85184.94750085517
80,20,85354.03093294585
100,1,88477.0235341907
100,5,87609.94124891129
100,10,87512.3130521352
100,20,87630.20403594777
