########################### MODEL 100 states #################################
-------------- Train Model with 100 states------------------
BW-Algo: 95.iteration taking 7.010999917984009 LogLiklihood: -27501.24229493123
BW-Algo: 96.iteration taking 7.079999923706055 LogLiklihood: -27499.688990882452
BW-Algo: 97.iteration taking 7.127000093460083 LogLiklihood: -27498.115331516317
BW-Algo: 98.iteration taking 7.037999868392944 LogLiklihood: -27496.47419374711
BW-Algo: 99.iteration taking 7.402000188827515 LogLiklihood: -27494.722620148183
BW-Algo: 100.iteration taking 7.291999816894531 LogLiklihood: -27492.86702694196
 ### Timing: {774477 milliseconds} ### 
-------------- Calc forecast distribution for {100} states------------------
 ### Timing: {1621 milliseconds} ### 
-------------- Generate PIT plots for {100} states------------------
 ### Timing: {4497 milliseconds} ### 

 ########################### MODEL 200 states #################################
-------------- Train Model with 200 states------------------
BW-Algo: 1.iteration taking 79.76799988746643 LogLiklihood: -57689.8426071797
BW-Algo: 2.iteration taking 98.7720000743866 LogLiklihood: -47065.21236368045
BW-Algo: 3.iteration taking 92.65400004386902 LogLiklihood: -47048.68075836341
BW-Algo: 4.iteration taking 99.33500003814697 LogLiklihood: -47027.7505372711
BW-Algo: 5.iteration taking 97.5239999294281 LogLiklihood: -46997.50157914299
BW-Algo: 6.iteration taking 94.45499992370605 LogLiklihood: -46945.90036329384
BW-Algo: 7.iteration taking 94.7039999961853 LogLiklihood: -46827.33898582636
BW-Algo: 8.iteration taking 94.1230001449585 LogLiklihood: -46201.8240861643
BW-Algo: 9.iteration taking 97.53600001335144 LogLiklihood: -43662.461565107325
BW-Algo: 10.iteration taking 97.92199993133545 LogLiklihood: -38250.978397561405
BW-Algo: 11.iteration taking 93.68099999427795 LogLiklihood: -32697.06691726664
BW-Algo: 12.iteration taking 93.94900012016296 LogLiklihood: -30393.704777015777
BW-Algo: 13.iteration taking 97.53600001335144 LogLiklihood: -29395.755101235023
BW-Algo: 14.iteration taking 94.36699986457825 LogLiklihood: -28774.953088490834
BW-Algo: 15.iteration taking 96.19199991226196 LogLiklihood: -28349.81479961399
BW-Algo: 16.iteration taking 92.55200004577637 LogLiklihood: -28023.036529170276
BW-Algo: 17.iteration taking 97.43700003623962 LogLiklihood: -27751.503721932957
BW-Algo: 18.iteration taking 93.52500009536743 LogLiklihood: -27534.604047197063
BW-Algo: 19.iteration taking 91.28099989891052 LogLiklihood: -27360.608650429655
BW-Algo: 20.iteration taking 88.6579999923706 LogLiklihood: -27220.10617724152
BW-Algo: 21.iteration taking 85.67900013923645 LogLiklihood: -27099.15200769803
BW-Algo: 22.iteration taking 85.27300000190735 LogLiklihood: -27004.088368447476
BW-Algo: 23.iteration taking 85.97299981117249 LogLiklihood: -26926.387308952304
BW-Algo: 24.iteration taking 85.49300003051758 LogLiklihood: -26861.41542018542
BW-Algo: 25.iteration taking 83.98099994659424 LogLiklihood: -26802.598519122716
BW-Algo: 26.iteration taking 85.11600017547607 LogLiklihood: -26743.626032601496
BW-Algo: 27.iteration taking 83.96499991416931 LogLiklihood: -26688.076288158634
BW-Algo: 28.iteration taking 84.42300009727478 LogLiklihood: -26638.596341096683
BW-Algo: 29.iteration taking 84.53600001335144 LogLiklihood: -26599.178212183066
BW-Algo: 30.iteration taking 87.03499984741211 LogLiklihood: -26562.290963530948
BW-Algo: 31.iteration taking 84.8180000782013 LogLiklihood: -26528.0935013449
BW-Algo: 32.iteration taking 85.45700001716614 LogLiklihood: -26495.82113145788
BW-Algo: 33.iteration taking 86.1399998664856 LogLiklihood: -26465.814153664545
BW-Algo: 34.iteration taking 84.82500004768372 LogLiklihood: -26438.13659938088
BW-Algo: 35.iteration taking 85.54900002479553 LogLiklihood: -26413.60084935731
BW-Algo: 36.iteration taking 84.74200010299683 LogLiklihood: -26388.65116720457
BW-Algo: 37.iteration taking 86.55799984931946 LogLiklihood: -26369.256499926436
BW-Algo: 38.iteration taking 80.75400018692017 LogLiklihood: -26353.51618839288
BW-Algo: 39.iteration taking 87.03499984741211 LogLiklihood: -26338.97899693782
BW-Algo: 40.iteration taking 85.59299993515015 LogLiklihood: -26324.99443985275
