Observations,States,LogLikeTest,LogLikeTrain,CRPS
25,10,-41654.43220702502,-75093.58183211242,0.9637051173117184
25,20,-40322.088025791854,-71126.39232499534,0.914528755921856
25,30,-38981.77644339179,-69795.81762378277,0.9199758656156318
25,40,-39079.03108472314,-68335.01650569309,0.911539705395753
25,50,-40511.39131584135,-65507.79623694648,0.9021792356980111
25,60,-39750.40250572258,-65410.73938121933,0.8930942534536215
25,70,-40162.71642900063,-63270.97129624238,0.9158036049121875
25,80,-38807.291377068,-63397.24437063745,0.9040002456169152
50,10,-54237.071150069794,-98808.41748301845,0.9345287330698954
50,20,-53339.1589086742,-93249.30565413213,0.8684653898949446
50,30,-51043.266926241435,-91389.59010769383,0.8421110158831682
50,40,-51558.96556183077,-89334.65629245163,0.8508673384160338
50,50,-51050.1291021442,-89054.10705456548,0.836069669401771
50,60,-52493.400095702746,-88641.41203245352,0.8341705238762366
50,70,-51269.20443905848,-86405.01574725565,0.8356625452558545
50,80,-51860.989732056114,-85464.87738223236,0.8336498355459057
100,10,-67266.45327016168,-122125.09623807447,0.8911197794955945
100,20,-64476.2163752734,-117287.2439999757,0.8364076038575528
100,30,-63699.16125610568,-114323.64435486359,0.8303456236559758
100,40,-63496.95136921841,-112581.7382484044,0.821872916938207
100,50,-63616.94669883666,-111823.1110319428,0.8349908861605388
100,60,-63778.80529180891,-110921.34738903143,0.8242828560045203
100,70,-63870.842751156815,-110401.00423422926,0.8296922965363038
100,80,-64095.132156212414,-109830.97222820678,0.8370888596024855
200,10,-79969.78873836066,-146593.08058169007,0.8954566115245882
200,20,-77204.25172821069,-142517.15454988737,0.8398183534926017
200,30,-76886.93463559946,-137828.6696365343,0.8456835602574275
200,40,-77557.17425408766,-136957.79318481346,0.8729731240212576
200,50,-77526.46176775494,-135442.11035725143,0.8461262566439992
200,60,-77758.9592760944,-133993.32144104753,0.8486518489995839
200,70,-78402.61057646209,-132627.5734796338,0.849205327008872
200,80,-79119.66648307057,-133214.7792386487,0.8558135570682972
