Observations,States,LogLikeTest,LogLikeTrain,CRPS
25,10,-14752.559569834842,-26930.31787642414,0.9195805579113252
25,20,-14586.643479094273,-26557.67694066775,0.9038983124421952
25,30,-14610.978682486082,-26542.090311232547,0.9054818771629265
25,40,-14615.439651511373,-26611.3699865434,0.9032274395923018
25,50,-14589.600015674932,-26442.999731433312,0.9063350613470157
25,60,-14633.640001104202,-26579.41772822459,0.904857749530312
25,70,-14620.301563206533,-26593.873051556082,0.9022675213109276
25,80,-14596.750257718264,-26498.031067086824,0.9051056339112464
50,10,-22178.770382850355,-41274.93093233358,0.8740310641265873
50,20,-21908.058328277955,-40204.95900318827,0.8386549425552607
50,30,-21756.76025561485,-39564.95246190987,0.8435185731875049
50,40,-21849.84254502909,-39563.148760729426,0.8434261764194442
50,50,-21895.015148491268,-39457.31774941534,0.8435842612974418
50,60,-21735.147168382824,-39259.41995157399,0.8412673439654091
50,70,-21727.133965541718,-38733.3787250109,0.8338791126925038
50,80,-21878.52799934886,-39149.69136098881,0.8396139060828909
100,10,-32575.274187305706,-61107.46645219452,0.8455029750953716
100,20,-31968.270724707134,-59683.08707164813,0.8504750462355526
100,30,-31810.39401897366,-58734.98927439269,0.8304139732449276
100,40,-31838.49450633175,-58533.17401393707,0.831550500867693
100,50,-31638.285759764276,-57328.408087826436,0.8297918159935941
100,60,-31550.619045785854,-56893.49823869699,0.8280109480845383
100,70,-31880.184610093795,-56876.160890352505,0.8414937295399003
100,80,-31560.05242923701,-55937.11407581411,0.825868669313195
200,10,-43586.97023503792,-82932.53380715458,0.8590593777323303
200,20,-43181.27517291081,-81303.77107384929,0.8348830271027012
200,30,-43101.418680075,-79821.0409614536,0.8444470302101674
200,40,-42857.45587197997,-79277.97594452917,0.8363365191626505
200,50,-43037.665887845054,-79341.8619491283,0.8472257244897186
200,60,-43437.4780176927,-78898.28967255348,0.8449643519283526
200,70,-43733.58527535046,-78064.95271419067,0.8519899532543987
200,80,-42527.25497831861,-77679.74881622166,0.8347056401196556
