Observations,States,LogLikeTest,LogLikeTrain,CRPS
25,10,-48604.617371664746,-96655.37488147338,1.4810529743299083
25,20,-47717.17008543399,-94722.85517012945,1.4116750966763278
25,30,-47561.79566325384,-93954.21954693276,1.401656934685084
25,40,-47631.29608140651,-93582.95589912853,1.406246810343342
25,50,-47571.72839350406,-92701.52996219894,1.403490138549256
25,60,-47683.8178067611,-92303.25325029857,1.4079671154627862
25,70,-47618.69237064451,-91504.79489237638,1.4057335730584573
25,80,-47895.28790995547,-91890.70174082936,1.413306322343255
50,10,-60570.13190447404,-120432.47589700494,1.424797670763484
50,20,-60161.36936106315,-118670.60169847528,1.3885307345948288
50,30,-59988.69019704455,-117908.95706834679,1.3741266867842197
50,40,-59875.32714252948,-117099.35879503377,1.3696738134386448
50,50,-59957.360274383835,-116673.46478212668,1.3657841064221707
50,60,-60094.54930606624,-116079.1495634366,1.3767166431272182
50,70,-60096.31571727468,-115288.47782384662,1.374477861082581
50,80,-60315.83465727393,-115065.05462897579,1.3869505787926573
100,10,-72748.83473312845,-144470.02156866773,1.4230182469103132
100,20,-72751.0634434711,-142987.75734597334,1.4064700697567716
100,30,-72532.81540598162,-141899.55385468568,1.3803227214050195
100,40,-72731.97419946907,-141177.89676652965,1.3815077880659883
100,50,-72755.63704954495,-140501.80394710833,1.3882676354022412
100,60,-72940.08967939905,-139687.02471438487,1.3875845085116338
100,70,-73226.37905511243,-139380.91539429163,1.3967473681420075
100,80,-73440.1816541612,-138502.3869631079,1.4020370032758809
200,10,-85210.44974793491,-168378.91189101426,1.4278568869632573
200,20,-85240.48597880121,-166540.20662687276,1.396524512443884
200,30,-85659.67205240954,-165726.89496638405,1.4036488870043256
200,40,-85906.5344507333,-164600.37112194469,1.4022066105613726
200,50,-86146.82267522781,-163417.96999387722,1.4094727725403597
200,60,-86407.66050439418,-162776.31734865773,1.4214663644753316
200,70,-86989.20748291965,-162064.7604026748,1.4094356127362941
200,80,-87518.82895709356,-161850.77793689643,1.4268557352251825
25,100,-48117.47927934193,-90757.56099307467,1.4227746897397786
50,100,-60805.45585650635,-114361.36898350925,1.3910213618084881
100,100,-73962.0746737711,-137754.96260325448,1.4122738292104702
200,100,-87856.9723712464,-160213.01873259692,1.450789283473532
