Observations,States,LogLikeTest,LogLikeTrain,CRPS
25,10,-45045.46416748775,-83190.62128671736,0.7354466831872633
25,20,-44560.65241426909,-77700.1773623934,0.7380661771844393
25,30,-44379.482557135125,-76265.84148226988,0.7502535746856221
25,40,-44053.41121499323,-74317.55004987377,0.753896405023723
25,50,-44208.61541169465,-73511.48384620258,0.7566541442279664
25,60,-44438.09137499859,-73212.62781348973,0.7568815086248406
25,70,-44521.16065854952,-72645.92234424083,0.7600038593493175
25,80,-44983.72643659357,-72074.53200278462,0.7696012576840594
50,10,-57567.742030959984,-105419.37516885865,0.7279223185231866
50,20,-56017.615131722014,-99473.8466822737,0.6986820485839197
50,30,-56170.179267653744,-97630.75682879462,0.6934172576260853
50,40,-55805.40736116858,-95729.81728561895,0.7012873224665161
50,50,-55927.868933347985,-94882.6528005249,0.6994520078468313
50,60,-56334.10338959398,-93687.20699905467,0.7100828492632749
50,70,-56406.35057061963,-92775.00417907574,0.7079693794767927
50,80,-57013.10753670137,-92336.34733469193,0.7191112227815757
100,10,-69757.00108325729,-129014.87382672133,0.7014161840185067
100,20,-68754.42536357831,-122992.41708499433,0.7078008507452312
100,30,-68460.63232117645,-120470.02533951342,0.6845897489098015
100,40,-68515.27390055126,-119104.61358636316,0.6883231315856579
100,50,-68690.39918275244,-117119.08813219806,0.6903043199315968
100,60,-68957.32557202819,-116260.49875200557,0.6857188631109805
100,70,-69089.2570885965,-114980.74735155364,0.6919571946311108
100,80,-69420.48325942711,-114185.78603986814,0.6972859483387793
200,10,-82114.13262320572,-153283.69436230152,0.7074943164068571
200,20,-81280.67898415407,-147901.66236456102,0.6855499782079838
200,30,-81216.06785727535,-143972.8406792339,0.6881740105435553
200,40,-81928.43465193399,-141204.82326493674,0.6896624704624303
200,50,-82287.55499953871,-140117.51728160284,0.6945846075032357
200,60,-82582.52291939313,-139537.02877696877,0.703538785185153
200,70,-82465.94361591004,-138093.2528384636,0.6987571474653725
200,80,-82925.85042122885,-136510.39781891648,0.7012941667385344
