Observations,States,LogLikeTest,LogLikeTrain,CRPS
25,10,-14019.072572651578,-26508.479841646928,0.8042498595022737
25,20,-13960.343421580901,-26473.987445649167,0.7995001166160566
25,30,-13983.760580184213,-26498.247284866567,0.8029998653468231
25,40,-13905.070053519543,-26216.775263412612,0.7897402291196689
25,50,-13884.212882468031,-26270.296498014995,0.7911577124718555
25,60,-13970.67445237812,-26291.377909814677,0.7990337199478661
25,70,-13920.478933857119,-26210.853420447085,0.7898600292461241
25,80,-13918.465711416933,-26122.205362678535,0.7871649370404011
50,10,-20288.590133828093,-37790.9996686961,0.7087672140293482
50,20,-20281.238057867755,-37651.76997942725,0.7048017141372853
50,30,-20250.84843412772,-37575.067510566834,0.7088712556538418
50,40,-20237.73159972683,-37189.11604206695,0.6966076614171406
50,50,-20181.088678418317,-37236.732333815664,0.7018632823822473
50,60,-20217.877680666323,-37086.11218000097,0.7015547426943778
50,70,-20227.892065367076,-37187.229257746716,0.7051367245090107
50,80,-20254.166243758842,-37118.26917619834,0.7025989146290196
100,10,-30672.014847096078,-54223.248699786694,0.688850251694802
100,20,-30935.54585699398,-53509.39982009251,0.6938897483624669
100,30,-30745.296648717784,-53043.1858007323,0.693812045007149
100,40,-30620.144789875612,-52521.48028420245,0.687437940342651
100,50,-30915.737238377475,-52232.66502551161,0.6893991867318353
100,60,-30764.95497906631,-51927.91335381074,0.6916659306082288
100,70,-31280.37019091231,-51750.11817234216,0.7003163560235725
100,80,-30894.80071374419,-51336.85575565359,0.6946462602309834
200,10,-42415.40498918481,-71970.19799311817,0.6946830217520739
200,20,-42120.17492328723,-70449.6639618559,0.6989623422459239
200,30,-42003.82550854956,-69459.60577674236,0.6937573853901554
200,40,-41935.48221388833,-68875.91885454042,0.6932007411442324
200,50,-42035.8475596069,-68351.50630562074,0.6948199122903215
200,60,-42424.651523243345,-67813.95596606722,0.6995776813081045
200,70,-42963.3745945351,-67563.97301841908,0.7020810340468153
200,80,-43257.99179611972,-67121.47165710735,0.699316996973201
