Observations,States,LogLikeTest,LogLikeTrain,CRPS
25,10,-21609.041070887746,-40677.32496361982,1.4665904401667036
25,20,-21385.153225943894,-40122.76916839117,1.4525240366216607
25,30,-21226.78894480181,-39728.98703009504,1.4316569062342615
25,40,-21171.983280455235,-39537.85947428571,1.4268746179470098
25,50,-21216.889411424483,-39610.28395487604,1.4299671004071237
25,60,-21221.004711772017,-39229.21708745013,1.4221036410179564
25,70,-21209.755715996253,-39329.87535741145,1.4195436099243328
25,80,-21148.037930508,-39208.27659646224,1.4132887821858344
50,10,-29390.238167828946,-55719.76001955039,1.4025773097512215
50,20,-29138.505721162965,-55015.324588598,1.3865924203359115
50,30,-28979.99075183637,-54503.43012861931,1.3768076724017502
50,40,-28962.39263665153,-54045.41796941198,1.3776059262565747
50,50,-28912.883710208385,-53638.57423437088,1.3667968308193466
50,60,-28909.62275809465,-53480.997975814586,1.3687415426764598
50,70,-28979.320425187703,-53625.79225268224,1.3699609903200378
50,80,-28966.861829824746,-53249.964631937764,1.3669015987854587
100,10,-39902.73827511149,-75994.63054334371,1.4257496572539665
100,20,-39266.11492755963,-74364.79354174712,1.3743547991859515
100,30,-39204.860597599036,-73743.92952579723,1.3684374354742392
100,40,-39210.86712400334,-73244.3045876726,1.3711733877326262
100,50,-39220.991323260125,-72550.83882946824,1.3586915361287561
100,60,-39397.399530229435,-72168.8520767734,1.376810952064141
100,70,-39463.42191256689,-71818.18760574427,1.3738509090694166
100,80,-39568.58256151649,-71181.57864292021,1.3688687111926499
200,10,-51660.048638030305,-98508.12220934119,1.3959898990845123
200,20,-51266.1363859356,-97207.78990288315,1.3853649904680074
200,30,-51297.370472434544,-96024.0634469269,1.3892200935405827
200,40,-51364.76667228182,-95398.17328252671,1.3914871195910359
200,50,-51325.74721926291,-94838.52253396793,1.3945367599935883
200,60,-51651.57993928495,-94390.48972453646,1.4114950272467282
200,70,-52044.55205897476,-93843.54743190184,1.406675648520788
200,80,-52417.709558958435,-93228.84891563423,1.4289492413481477
25,100,-21233.558631144508,-38808.529924021845,1.4200774442822075
50,100,-29320.506512258762,-52568.842437101484,1.3825558503262132
100,100,-39931.65373137053,-70645.34354417425,1.3831611082476873
200,100,-52848.045071935594,-92344.453027309,1.4381988298741377
