

########################## MODEL 50 states #################################
-------------- Train Model with 50 states------------------
BW-Algo: 76.iteration taking 1.8910000324249268 LogLiklihood: -29238.43315462229
BW-Algo: 77.iteration taking 1.819000005722046 LogLiklihood: -29234.84013886746
BW-Algo: 78.iteration taking 1.9279999732971191 LogLiklihood: -29232.36897765078
BW-Algo: 79.iteration taking 1.8050000667572021 LogLiklihood: -29229.62679551124
BW-Algo: 80.iteration taking 1.871000051498413 LogLiklihood: -29224.456844154214
BW-Algo: 81.iteration taking 1.806999921798706 LogLiklihood: -29219.610293562175
BW-Algo: 82.iteration taking 1.9049999713897705 LogLiklihood: -29216.106139098185
BW-Algo: 83.iteration taking 1.8229999542236328 LogLiklihood: -29214.198396621585
BW-Algo: 84.iteration taking 1.9070000648498535 LogLiklihood: -29212.58396566396
BW-Algo: 85.iteration taking 1.803999900817871 LogLiklihood: -29210.901343545935
BW-Algo: 86.iteration taking 1.8260002136230469 LogLiklihood: -29208.95825218749
BW-Algo: 87.iteration taking 1.8349997997283936 LogLiklihood: -29206.474499524462
BW-Algo: 88.iteration taking 1.874000072479248 LogLiklihood: -29203.413638220947
BW-Algo: 89.iteration taking 1.8240001201629639 LogLiklihood: -29200.165422652397
BW-Algo: 90.iteration taking 1.8320000171661377 LogLiklihood: -29196.032833940375
BW-Algo: 91.iteration taking 1.8420000076293945 LogLiklihood: -29193.135668467505
BW-Algo: 92.iteration taking 1.9039998054504395 LogLiklihood: -29190.86335218881
BW-Algo: 93.iteration taking 1.8610000610351562 LogLiklihood: -29188.435287923006
BW-Algo: 94.iteration taking 1.8580000400543213 LogLiklihood: -29186.149387185716
BW-Algo: 95.iteration taking 1.8259999752044678 LogLiklihood: -29184.187492910823
BW-Algo: 96.iteration taking 1.871000051498413 LogLiklihood: -29182.48898649791
BW-Algo: 97.iteration taking 1.815000057220459 LogLiklihood: -29180.95979708391
BW-Algo: 98.iteration taking 1.8279998302459717 LogLiklihood: -29179.46624922467
BW-Algo: 99.iteration taking 1.8970000743865967 LogLiklihood: -29177.75954704302
BW-Algo: 100.iteration taking 1.8380000591278076 LogLiklihood: -29175.529783593764
 ### Timing: {186973 milliseconds} ###
-------------- Calc forecast distribution for {50} states------------------
 ### Timing: {391 milliseconds} ###
-------------- Generate PIT plots for {50} states------------------
 ### Timing: {1027 milliseconds} ###

 ########################### MODEL 100 states #################################
-------------- Train Model with 100 states------------------
BW-Algo: 1.iteration taking 10.418999910354614 LogLiklihood: -57822.62715396915
BW-Algo: 2.iteration taking 7.396000146865845 LogLiklihood: -47723.84084327459
BW-Algo: 3.iteration taking 7.369999885559082 LogLiklihood: -47697.57451679828
BW-Algo: 4.iteration taking 7.468000173568726 LogLiklihood: -47662.92261739283
BW-Algo: 5.iteration taking 7.685999870300293 LogLiklihood: -47609.13720837666
BW-Algo: 6.iteration taking 7.444999933242798 LogLiklihood: -47509.54920486602
BW-Algo: 7.iteration taking 7.754000186920166 LogLiklihood: -47285.709510605724
BW-Algo: 8.iteration taking 7.520999908447266 LogLiklihood: -46628.99843863517
BW-Algo: 9.iteration taking 7.418999910354614 LogLiklihood: -44166.65894744168
BW-Algo: 10.iteration taking 7.322000026702881 LogLiklihood: -38518.03413481841
BW-Algo: 11.iteration taking 7.571000099182129 LogLiklihood: -34076.51387934491
BW-Algo: 12.iteration taking 7.955999851226807 LogLiklihood: -31805.25140227187
BW-Algo: 13.iteration taking 7.428000211715698 LogLiklihood: -30808.139799934976
BW-Algo: 14.iteration taking 7.739999771118164 LogLiklihood: -30341.71793275626
BW-Algo: 15.iteration taking 7.563000202178955 LogLiklihood: -30019.872153403066
BW-Algo: 16.iteration taking 7.491999864578247 LogLiklihood: -29757.78364707267
BW-Algo: 17.iteration taking 7.522000074386597 LogLiklihood: -29552.135607900604
BW-Algo: 18.iteration taking 7.57099986076355 LogLiklihood: -29382.076113865747
BW-Algo: 19.iteration taking 7.527000188827515 LogLiklihood: -29234.655458978123
BW-Algo: 20.iteration taking 7.6579999923706055 LogLiklihood: -29099.796788996802
BW-Algo: 21.iteration taking 7.8409998416900635 LogLiklihood: -28976.605171607964
BW-Algo: 22.iteration taking 7.562000036239624 LogLiklihood: -28872.635408528164
BW-Algo: 23.iteration taking 7.769999980926514 LogLiklihood: -28789.99848065654
BW-Algo: 24.iteration taking 7.764000177383423 LogLiklihood: -28718.65341491954
BW-Algo: 25.iteration taking 7.85099983215332 LogLiklihood: -28655.575692273673
BW-Algo: 26.iteration taking 7.39300012588501 LogLiklihood: -28603.42941185185
BW-Algo: 27.iteration taking 7.5980000495910645 LogLiklihood: -28555.793210667623
BW-Algo: 28.iteration taking 7.768999814987183 LogLiklihood: -28511.84377366768
BW-Algo: 29.iteration taking 7.3459999561309814 LogLiklihood: -28472.912588845793
BW-Algo: 30.iteration taking 7.648000001907349 LogLiklihood: -28440.028785426017
BW-Algo: 31.iteration taking 7.571000099182129 LogLiklihood: -28411.196420995933
BW-Algo: 32.iteration taking 7.556999921798706 LogLiklihood: -28384.905586365305
BW-Algo: 33.iteration taking 7.627000093460083 LogLiklihood: -28363.306010858065
BW-Algo: 34.iteration taking 7.555999994277954 LogLiklihood: -28345.036534799285
BW-Algo: 35.iteration taking 8.062000036239624 LogLiklihood: -28327.298687776696
BW-Algo: 36.iteration taking 7.7779998779296875 LogLiklihood: -28311.23244970877
BW-Algo: 37.iteration taking 7.78600001335144 LogLiklihood: -28297.32457897999
BW-Algo: 38.iteration taking 7.550000190734863 LogLiklihood: -28284.53757766339
BW-Algo: 39.iteration taking 7.753999948501587 LogLiklihood: -28273.178517184726
BW-Algo: 40.iteration taking 8.123999834060669 LogLiklihood: -28262.04575812868
BW-Algo: 41.iteration taking 7.831000089645386 LogLiklihood: -28250.803960752528
BW-Algo: 42.iteration taking 7.773999929428101 LogLiklihood: -28238.22166335364
BW-Algo: 43.iteration taking 7.466000080108643 LogLiklihood: -28225.525713520667
BW-Algo: 44.iteration taking 7.630000114440918 LogLiklihood: -28213.29549540175
BW-Algo: 45.iteration taking 7.5289998054504395 LogLiklihood: -28203.26990513347
BW-Algo: 46.iteration taking 7.526000022888184 LogLiklihood: -28194.060658460152
BW-Algo: 47.iteration taking 7.83899998664856 LogLiklihood: -28185.72921384876
BW-Algo: 48.iteration taking 7.50600004196167 LogLiklihood: -28176.262109722913
BW-Algo: 49.iteration taking 7.746000051498413 LogLiklihood: -28167.864439646575
BW-Algo: 50.iteration taking 7.604000091552734 LogLiklihood: -28162.209432913034
BW-Algo: 51.iteration taking 7.788999795913696 LogLiklihood: -28157.07637272448
BW-Algo: 52.iteration taking 7.5920000076293945 LogLiklihood: -28150.269983498772
BW-Algo: 53.iteration taking 7.514000177383423 LogLiklihood: -28141.20145787568
BW-Algo: 54.iteration taking 7.692999839782715 LogLiklihood: -28135.677178706275
BW-Algo: 55.iteration taking 7.962000131607056 LogLiklihood: -28131.285091895566
BW-Algo: 56.iteration taking 7.766999959945679 LogLiklihood: -28125.900065498856
BW-Algo: 57.iteration taking 8.141000032424927 LogLiklihood: -28119.24321467209
BW-Algo: 58.iteration taking 7.836999893188477 LogLiklihood: -28115.043031422014
BW-Algo: 59.iteration taking 7.480999946594238 LogLiklihood: -28110.99821675213
BW-Algo: 60.iteration taking 7.900000095367432 LogLiklihood: -28107.316032316718
BW-Algo: 61.iteration taking 7.644000053405762 LogLiklihood: -28103.791958642047
BW-Algo: 62.iteration taking 7.6559998989105225 LogLiklihood: -28100.3971037566
BW-Algo: 63.iteration taking 7.748000144958496 LogLiklihood: -28097.45651543613
BW-Algo: 64.iteration taking 8.396999835968018 LogLiklihood: -28094.703518092
BW-Algo: 65.iteration taking 7.7190001010894775 LogLiklihood: -28091.94449751052
BW-Algo: 66.iteration taking 7.733000040054321 LogLiklihood: -28089.366315506937
BW-Algo: 67.iteration taking 7.763999938964844 LogLiklihood: -28087.048939715696
BW-Algo: 68.iteration taking 7.668999910354614 LogLiklihood: -28084.87670976699
BW-Algo: 69.iteration taking 7.63100004196167 LogLiklihood: -28082.632858082143
BW-Algo: 70.iteration taking 7.78600001335144 LogLiklihood: -28080.342054317585
BW-Algo: 71.iteration taking 7.986000061035156 LogLiklihood: -28078.12342308315
BW-Algo: 72.iteration taking 7.670000076293945 LogLiklihood: -28074.967998799497
BW-Algo: 73.iteration taking 8.010999917984009 LogLiklihood: -28072.067927653443
BW-Algo: 74.iteration taking 7.83299994468689 LogLiklihood: -28070.10358077806
BW-Algo: 75.iteration taking 7.80400013923645 LogLiklihood: -28068.293746078725
BW-Algo: 76.iteration taking 7.628999948501587 LogLiklihood: -28066.248601519845
BW-Algo: 77.iteration taking 7.66100001335144 LogLiklihood: -28062.764951706245
BW-Algo: 78.iteration taking 7.8429999351501465 LogLiklihood: -28058.680593643883
BW-Algo: 79.iteration taking 7.7820000648498535 LogLiklihood: -28056.90469725749
BW-Algo: 80.iteration taking 7.935999870300293 LogLiklihood: -28055.91733405406
BW-Algo: 81.iteration taking 7.733999967575073 LogLiklihood: -28055.03773110819
BW-Algo: 82.iteration taking 7.698000192642212 LogLiklihood: -28054.172217969004
BW-Algo: 83.iteration taking 7.997999906539917 LogLiklihood: -28053.27076076555
BW-Algo: 84.iteration taking 7.732000112533569 LogLiklihood: -28052.300970116325
BW-Algo: 85.iteration taking 8.479999780654907 LogLiklihood: -28051.166163789665
BW-Algo: 86.iteration taking 7.965000152587891 LogLiklihood: -28049.777451956026
BW-Algo: 87.iteration taking 7.846999883651733 LogLiklihood: -28048.55485074877
BW-Algo: 88.iteration taking 8.023000001907349 LogLiklihood: -28047.73134270669
BW-Algo: 89.iteration taking 7.8450000286102295 LogLiklihood: -28046.95944983917
BW-Algo: 90.iteration taking 8.087000131607056 LogLiklihood: -28046.008769946024
BW-Algo: 91.iteration taking 7.759999990463257 LogLiklihood: -28044.586062186012
BW-Algo: 92.iteration taking 7.634999990463257 LogLiklihood: -28042.65271574548
BW-Algo: 93.iteration taking 7.7749998569488525 LogLiklihood: -28039.930374647916
BW-Algo: 94.iteration taking 7.883000135421753 LogLiklihood: -28037.60575733351
BW-Algo: 95.iteration taking 7.9709999561309814 LogLiklihood: -28036.897855760533
BW-Algo: 96.iteration taking 7.869999885559082 LogLiklihood: -28036.20361348168
BW-Algo: 97.iteration taking 7.758000135421753 LogLiklihood: -28035.34758419165
BW-Algo: 98.iteration taking 7.861000061035156 LogLiklihood: -28034.134901977617
BW-Algo: 99.iteration taking 7.822999954223633 LogLiklihood: -28032.62112866828
BW-Algo: 100.iteration taking 7.9649999141693115 LogLiklihood: -28031.654028651486
 ### Timing: {775505 milliseconds} ### 
-------------- Calc forecast distribution for {100} states------------------
 ### Timing: {925 milliseconds} ### 
-------------- Generate PIT plots for {100} states------------------
 ### Timing: {1023 milliseconds} ### 
 
 ########################### MODEL 200 states #################################
-------------- Train Model with 200 states------------------
BW-Algo: 1.iteration taking 73.91599988937378 LogLiklihood: -57681.81845920717
BW-Algo: 2.iteration taking 95.95100021362305 LogLiklihood: -47729.60263748428
BW-Algo: 3.iteration taking 91.29199981689453 LogLiklihood: -47713.80806326785
BW-Algo: 4.iteration taking 93.21900010108948 LogLiklihood: -47694.14922498986
