HistoricWindowLength,CRPS
1,1.1816309059812893
3,0.7164288321879776
5,0.6863633606834366
10,0.6846043308535728
25,0.6845922323343673
50,0.6845897286508145
100,0.6845897286583277
200,0.6845897286583277
