NumberOfStates,HistoricWindowLength,mae
10,1,0.3782111528822055
10,5,0.38494674185463656
10,10,0.38479010025062654
10,20,0.38479010025062654
20,1,0.3805607769423559
20,5,0.38745300751879697
20,10,0.3869830827067669
20,20,0.38729636591478694
30,1,0.37954260651629074
30,5,0.40155075187969924
30,10,0.4018640350877193
30,20,0.4017857142857143
40,1,0.37907268170426067
40,5,0.4057017543859649
40,10,0.4067982456140351
40,20,0.4066416040100251
50,1,0.3794642857142857
50,5,0.40029761904761907
50,10,0.4010808270676692
50,20,0.4005325814536341
60,1,0.37907268170426067
60,5,0.40382205513784464
60,10,0.40750313283208023
60,20,0.4081296992481203
80,1,0.3796209273182957
80,5,0.4057017543859649
80,10,0.40789473684210525
80,20,0.4082080200501253
100,1,0.3805607769423559
100,5,0.4041353383458647
100,10,0.40515350877192985
100,20,0.4057017543859649
