NumberOfStates,HistoricWindowLength,mae
10,1,111.44312299168816
10,5,111.2538342514296
10,10,111.26750482337961
10,20,111.28352086196912
20,1,106.43892964075451
20,5,104.76920079499676
20,10,104.82479788456524
20,20,104.931620147383
30,1,106.47065613176555
30,5,104.34048576467337
30,10,104.3453190279492
30,20,104.46178920997407
40,1,106.46047647484001
40,5,102.97341849474937
40,10,103.13855397771214
40,20,103.21738626919365
50,1,106.03129398692802
50,5,103.03905359037323
50,10,103.43173215460861
50,20,103.44663801172877
60,1,105.90716711049154
60,5,102.69945816833517
60,10,102.768791700386
60,20,102.82715839837715
80,1,105.86260140940271
80,5,103.38372301273571
80,10,103.13254079399775
80,20,103.198267458957
100,1,105.96386896431662
100,5,103.7150724475464
100,10,103.89652634244291
100,20,104.01763757175813
